unique circuitNames,year,constructorId,bestLapTime,GPName,circuitName
Albert Park Grand Prix Circuit,2000,1,01:30.6,Australian Grand Prix,Albert Park Grand Prix Circuit
A1-Ring,2000,1,01:10.410,Brazilian Grand Prix,A1-Ring
Circuit de Spa-Francorchamps,2000,1,01:50.646,San Marino Grand Prix,Circuit de Spa-Francorchamps
Autódromo José Carlos Pace,2000,6,01:14.111,British Grand Prix,Autódromo José Carlos Pace
Silverstone Circuit,2000,6,01:25.7,Spanish Grand Prix,Silverstone Circuit
Circuit Gilles Villeneuve,2000,1,01:18.439,European Grand Prix,Circuit Gilles Villeneuve
Nürburgring,2000,6,01:17.529,Monaco Grand Prix,Nürburgring
Circuit de Nevers Magny-Cours,2000,6,01:15.632,Canadian Grand Prix,Circuit de Nevers Magny-Cours
Hockenheimring,2000,6,01:44.300,French Grand Prix,Hockenheimring
Hungaroring,2000,1,01:17.514,Austrian Grand Prix,Hungaroring
Autodromo Nazionale di Monza,2000,6,01:23.770,German Grand Prix,Autodromo Nazionale di Monza
Suzuka Circuit,2000,6,01:35.8,Hungarian Grand Prix,Suzuka Circuit
Sepang International Circuit,2000,1,01:37.397,Belgian Grand Prix,Sepang International Circuit
Circuit de Monaco,2000,6,01:19.475,Italian Grand Prix,Circuit de Monaco
Autodromo Enzo e Dino Ferrari,2000,6,01:24.7,United States Grand Prix,Autodromo Enzo e Dino Ferrari
Circuit de Barcelona-Catalunya,2000,6,01:20.974,Japanese Grand Prix,Circuit de Barcelona-Catalunya
Indianapolis Motor Speedway,2000,6,01:14.266,Malaysian Grand Prix,Indianapolis Motor Speedway
Bahrain International Circuit,2001,6,01:26.892,Australian Grand Prix,Albert Park Grand Prix Circuit
Shanghai International Circuit,2001,6,01:09.562,Malaysian Grand Prix,A1-Ring
Istanbul Park,2001,6,01:49.758 ,Brazilian Grand Prix,Circuit de Spa-Francorchamps
Fuji Speedway,2001,1,01:13.780,San Marino Grand Prix,Autódromo José Carlos Pace
Valencia Street Circuit,2001,6,01:20.447,Spanish Grand Prix,Silverstone Circuit
Marina Bay Street Circuit,2001,6,01:15.782,Austrian Grand Prix,Circuit Gilles Villeneuve
Yas Marina Circuit,2001,1,01:14.960,Monaco Grand Prix,Nürburgring
Korean International Circuit,2001,6,01:12.989,Canadian Grand Prix,Circuit de Nevers Magny-Cours
Buddh International Circuit,2001,6,01:38.117,European Grand Prix,Hockenheimring
Circuit of the Americas,2001,3,01:14.082,French Grand Prix,Hungaroring
Red Bull Ring,2001,6,01:22.216,British Grand Prix,Autodromo Nazionale di Monza
Sochi Autodrom,2001,3,01:31.317,German Grand Prix,Suzuka Circuit
